Date,Open,High,Low,Close,Volume,Adj. Close
2016-12-17,780.71,790.88,778.1,787.2,3109.36684447,787.2
2016-12-18,787.2,790.99,780.0,785.49,2314.86904112,785.49
2016-12-19,785.5,794.39,783.92,789.9,3878.38246192,789.9
2016-12-20,789.71,795.0,787.1,791.83,2966.08899405,791.83
2016-12-21,791.88,829.0,790.0,825.5,8022.93845081,825.5
2016-12-22,825.32,875.0,818.5,861.91,13449.5603531,861.91
2016-12-23,862.51,913.41,858.0,889.49,13969.1504942,889.49
2016-12-24,888.0,920.0,876.11,891.84,8989.03763221,891.84
2016-12-25,892.84,899.73,859.0,875.32,4739.55471058,875.32
2016-12-26,875.41,905.18,875.41,901.0,4100.80132751,901.0
2016-12-27,901.0,935.0,891.0,931.99,5221.81263654,931.99
2016-12-28,931.99,968.98,922.0,949.9,10340.4866469,949.9
2016-12-29,949.91,980.74,947.52,964.91,8940.42482067,964.91
2016-12-30,964.9,970.35,931.0,954.1,10116.1671263,954.1
2016-12-31,955.1,965.82,944.11,956.84,6983.74520597,956.84
2017-01-01,956.98,977.92,956.22,976.71,3277.05780667,976.71
2017-01-02,976.71,1030.0,976.22,1026.65,9944.11801979,1026.65
2017-01-03,1026.65,1032.0,990.01,1020.0,8498.57337157,1020.0
2017-01-04,1019.54,1098.76,1016.19,1089.08,14554.7077823,1089.08
2017-01-05,1088.89,1139.89,885.41,992.84,37144.9239183,992.84
2017-01-06,992.84,1026.99,871.0,912.0,29351.6640015,912.0
2017-01-07,912.0,919.99,812.28,887.99,23424.8887019,887.99
2017-01-08,888.0,941.81,879.98,904.06,11411.451473,904.06
2017-01-09,904.06,914.3,875.0,901.79,8141.70557897,901.79
2017-01-10,900.44,912.47,883.98,903.77,9066.40546943,903.77
2017-01-11,903.76,918.4,790.0,795.55,25280.0755686,795.55
2017-01-12,793.66,825.99,751.34,794.89,24687.1260354,794.89
2017-01-13,794.85,832.99,775.0,817.95,13469.4648164,817.95
2017-01-14,816.94,837.76,816.58,831.67,8240.56786642,831.67
2017-01-15,831.45,831.87,810.0,813.38,5102.79702743,813.38
2017-01-16,814.24,835.0,808.0,831.99,5446.50395915,831.99
2017-01-17,831.99,896.23,827.0,881.22,10452.9136137,881.22
2017-01-18,881.22,915.99,851.74,874.5,12431.0800114,874.5
2017-01-19,874.03,899.0,860.01,893.02,9912.46956376,893.02
2017-01-20,893.03,910.0,880.0,896.11,9056.73281182,896.11
